Date,Open,High,Low,Close,Adj Close,Volume
1/7/2021,15.215,16.33,14.75,16.02,16.02,20563800
1/8/2021,15.3,17.24,14.55,15.9,15.9,15380000
1/11/2021,15.931,15.931,14.75,14.98,14.98,13793300
1/12/2021,14.86,15.45,14.27,14.62,14.62,15606600
1/13/2021,14.56,14.77,13.8,14,14,13886000
1/14/2021,14.15,14.52,13.57,14.01,14.01,13765600
1/15/2021,13.87,14.18,13.1,13.24,13.24,13851400
1/19/2021,13.69,14.28,13.271,13.75,13.75,13329600
1/20/2021,13.89,14.33,13.61,13.73,13.73,9519200
1/21/2021,13.785,13.93,13.33,13.59,13.59,7794600
1/22/2021,13.45,14.14,13.21,13.55,13.55,11562000
1/25/2021,14.26,14.95,13.61,13.93,13.93,16187000
1/26/2021,14.01,15.88,13.85,15.76,15.76,25700200
1/27/2021,15.4,16.84,13.95,14.25,14.25,22931100
1/28/2021,14.78,15.45,13.5,14.07,14.07,17912600
1/29/2021,14.05,14.7,13.6,13.95,13.95,12310600
2/1/2021,14.13,14.4,13.5,13.81,13.81,10178500
2/2/2021,14.37,14.4,13.91,13.97,13.97,11088900
2/3/2021,14.07,14.248,13.83,13.95,13.95,8780100
2/4/2021,12.24,13.1,11.86,12.23,12.23,69155500
2/5/2021,12.53,13.07,11.3,12.93,12.93,66575300
2/8/2021,13.04,13.13,12.165,12.37,12.37,34018200
2/9/2021,12.62,13.7,12.4,13.16,13.16,30417300
2/10/2021,13.18,13.25,12.34,12.5,12.5,17265800
2/11/2021,12.38,12.48,11.76,12.01,12.01,14699000
2/12/2021,11.925,12.39,11.75,12.08,12.08,9652800
2/16/2021,12.2,12.23,11.4,11.49,11.49,18245000
2/17/2021,11.13,11.54,11.05,11.32,11.32,13279700
2/18/2021,11.11,11.241,10.51,10.83,10.83,15000000
2/19/2021,10.8,11.31,10.55,10.98,10.98,16930800
2/22/2021,11,11.67,10.98,11.08,11.08,13030900
2/23/2021,10.62,10.88,9.68,10.13,10.13,18013200
2/24/2021,10.157,10.49,10.05,10.34,10.34,8457300
2/25/2021,10.3,10.57,9.56,9.71,9.71,15351700
2/26/2021,9.92,10,9.16,9.4,9.4,16535900
3/1/2021,9.97,10.82,9.81,10.37,10.37,19560700
3/2/2021,9.85,9.85,9,9.04,9.04,31920200
3/3/2021,8.99,9.28,8.02,8.29,8.29,25552400
3/4/2021,8.08,8.27,6.93,7.29,7.29,29250600
3/5/2021,7.62,7.96,6.31,7.84,7.84,27624300
3/8/2021,7.907,8.12,7.3,7.35,7.35,14706600
3/9/2021,7.56,8.38,7.429,8.19,8.19,13962900
3/10/2021,8.3,8.6,8,8.11,8.11,13634700
3/11/2021,8.36,8.84,8.3,8.67,8.67,9389800
3/12/2021,8.41,8.95,8.22,8.91,8.91,6492900
3/15/2021,8.9,9.08,8.47,8.875,8.875,9329400
3/16/2021,8.87,9.07,8.415,8.61,8.61,8385100
3/17/2021,8.26,8.875,8.25,8.75,8.75,13208400
3/18/2021,8.63,8.87,8.28,8.47,8.47,12319200
3/19/2021,8.56,8.83,8.23,8.51,8.51,19825200
3/22/2021,8.44,8.845,8.36,8.79,8.79,10363600
3/23/2021,8.59,8.72,8.11,8.27,8.27,12386900
3/24/2021,8.19,8.25,7.64,7.67,7.67,8895300
3/25/2021,7.302,7.935,7.01,7.82,7.82,8926300
3/26/2021,7.74,7.86,7.25,7.59,7.59,5656000
3/29/2021,7.39,7.56,7.16,7.34,7.34,4552900
3/30/2021,7.24,7.3,6.895,7.19,7.19,5227000
3/31/2021,7.3,7.64,7.23,7.56,7.56,4816500
4/1/2021,7.63,7.69,7.321,7.38,7.38,4261000
4/5/2021,7.52,7.585,7.271,7.5,7.5,3472300
4/6/2021,7.49,7.84,7.43,7.61,7.61,3911200
4/7/2021,7.61,7.66,7.29,7.35,7.35,3555200
4/8/2021,7.35,9.23,7.12,8.85,8.85,76990700
4/9/2021,8.48,8.73,8.04,8.21,8.21,28369100
4/12/2021,8.08,8.14,7.61,7.82,7.82,10003600
4/13/2021,7.74,8,7.63,7.81,7.81,4714700
4/14/2021,7.87,7.87,7.41,7.42,7.42,4996100
4/15/2021,7.57,7.69,7.11,7.35,7.35,5824400
4/16/2021,7.36,10.03,7.23,8.82,8.82,249097800
4/19/2021,9.62,10.57,9.17,9.67,9.67,236758200
4/20/2021,9.41,9.42,8.36,8.62,8.62,41659000
4/21/2021,8.52,9.29,8.07,9.05,9.05,23876800
4/22/2021,9.079,9.42,8.48,8.5,8.5,12717000
4/23/2021,8.55,9.3,8.51,8.77,8.77,12228800
4/26/2021,8.98,9.45,8.84,9.22,9.22,12273100
4/27/2021,9.31,9.67,9.02,9.24,9.24,8484600
4/28/2021,9.46,11.23,9.36,10.5,10.5,86442400
4/29/2021,11.24,11.77,9.91,10.17,10.17,68334900
4/30/2021,9.88,10.47,9.72,9.85,9.85,17439400
5/3/2021,10.19,10.58,9.21,9.29,9.29,15999100
5/4/2021,9.255,9.35,8.55,9.06,9.06,10100100
5/5/2021,9.08,9.13,8.715,8.84,8.84,6653600
5/6/2021,8.711,8.79,8.13,8.23,8.23,8476000
5/7/2021,8.39,8.915,8.25,8.62,8.62,6507400
5/10/2021,8.75,8.755,8.185,8.26,8.26,6204000
5/11/2021,7.66,8.235,7.54,8.13,8.13,8188700
5/12/2021,7.97,8.245,7.713,7.78,7.78,7664000
5/13/2021,7.92,7.95,7.08,7.26,7.26,9648800
5/14/2021,7.352,7.685,7.185,7.47,7.47,7968600
5/17/2021,7.59,7.93,6.59,6.82,6.82,38562000
5/18/2021,6.77,7.2,6.6,6.97,6.97,16185700
5/19/2021,6.74,6.91,6.519,6.84,6.84,9210400
5/20/2021,6.87,7.18,6.76,7.13,7.13,9340400
5/21/2021,7.128,7.3,6.92,6.93,6.93,7435600
5/24/2021,6.92,7.04,6.82,6.92,6.92,5711100
5/25/2021,6.96,7.23,6.92,7.02,7.02,5745100
5/26/2021,7.08,7.55,6.975,7.33,7.33,8083000
5/27/2021,7.4,8.1,7.12,7.83,7.83,31641300
5/28/2021,8.06,8.2,7.51,7.64,7.64,13836200
